,ABCC1,ABL1,AKT1,ALOX5,APP,BCL2,CA3,CAPN2,CD38,CDK1,ERN1,EZH2,G6PD,HDAC2,HDAC6,HIF1A,HMOX1,IL6,JAK2,MAP2K1,MAPK8,MAPK9,MDM2,MMP2,NFE2L2,NFKB1,NOS3,NQO1,PARP1,PDGFRA,PPIA,PRKCA,PRKCD,PTGS2,RELA,SPHK1,SRC,XBP1,Type
GSM2370970,7.10997483028512,7.4069140664326,7.15658326362399,5.16473118752503,9.52387759164301,3.87108026380473,-0.370870008,8.35258358610212,-2.099387294,-1.406038913,4.24152962491667,0.803426798252834,4.39751291443832,3.60696837073706,6.04833016181167,5.45253034185209,5.98003775566402,-4.227797283,4.23326962433504,4.71871014385442,1.84040326865822,3.64066959722911,5.53548770894298,10.313268541668,5.16762386046055,4.45310262314047,3.36633424937396,3.12576799908799,6.02060014408671,8.10555393368212,7.2506368705402,5.43342915081497,5.28282511753519,-1.042938124,5.20752383916029,3.9738107990028,5.11614518835948,5.34802905993443,0
GSM2370971,6.04350726904841,5.53596631643085,5.3019358459436,1.79451893360336,7.45334880425523,6.57385870264706,12.3742204205049,7.09094988387177,3.53370178830665,0.329529209036284,1.88825869805435,1.88825869805435,1.54873384357994,5.34390302673753,5.32167254519218,4.94275833932651,3.08338291860928,-1.804628485,6.55432953796191,5.69790708817594,3.84166130587157,5.84056224242088,7.14377849451348,7.48807333213649,6.20478715121635,4.77291869309076,1.47006664061572,3.34269631799942,6.87895118022358,7.49553978845963,6.1833724262699,4.84677844937626,2.38284017643063,-0.945808931,4.33612667734214,0.784395533885953,1.79451893360336,4.91518569025563,0
GSM2370972,5.16166503928054,6.68630378784251,6.08859903238252,2.88738490864052,8.95250608407302,5.78375854644538,1.62577818138424,7.67740572245812,-0.176968771,-0.214081187,3.42880743904469,1.0375342934522,3.88656167278035,4.76979341451784,5.27397842548083,5.93232338784598,3.70712138300421,-2.593407838,5.44144657282388,4.87404366789915,3.07213753282273,4.71161115991213,6.08573878842221,9.03883953309738,6.40619873186035,5.0977970803882,1.91074126498893,4.17012931232497,5.67758420051055,8.89831586372958,7.19054541397272,3.68713137798263,4.83596900155251,-0.07103738,4.74341746847619,0.972955915317396,3.89530033018946,5.58609388821729,0
GSM2370973,6.63198712192929,7.15424156396729,6.42439241841527,4.30082249620792,9.577034687,3.50324848391712,-0.256510782,8.60004484351864,-1.717061749,-0.102900973,4.37898171064896,1.4754909916763,4.07256758556058,4.22061313044056,5.6526790158222,6.54457280130555,5.80605676812568,-4.227797283,5.40834921339435,4.41122433176399,2.35068109716708,4.17126031087406,6.10505576443414,10.2523200065551,5.80200925942133,4.92598723870193,2.95121715987223,2.99725795353274,5.95784138768679,9.04373951926524,7.01850559504854,6.23922821666786,4.76564551268642,-0.849533814,5.03208367582723,3.54259331104579,4.67825566577208,5.91500863254529,0
GSM2370974,5.83051631357787,6.91351719726325,6.55664874277634,2.52815029507661,8.15505008905611,6.31135107047887,3.23794723652479,7.87510724597898,-1.75639571,0.458674154872593,2.94153527961209,1.05322798662524,4.38483419841145,4.60056810203693,5.56241291719147,5.79523373119125,3.91605030606391,-2.897081523,5.44679714448569,5.73663123455047,2.73506870030787,4.81054564146185,5.79663374018352,8.83436748669261,5.93909129139366,4.90832663642793,3.22967914292022,4.97785356203778,6.01321928190761,8.00855433296393,7.28641098729078,4.81745855796789,5.72491373009526,-1.630644096,4.76263831279749,1.9764445581379,3.98644210729366,5.09740910789285,0
GSM2370975,6.18957990418779,6.60903895884007,5.91166537315903,5.20579265735876,8.69940397391539,4.30852482396476,-0.921045396,7.72732712204176,2.01058113143454,0.778220282670993,3.63880922654472,2.18074374244192,3.48672926152853,4.26465711138667,5.3428955672023,6.58916862886429,5.69161754698841,-1.937455728,6.43592000359405,4.41870794965459,2.76319035661427,4.56513631480209,6.40493393889684,8.55128361140449,6.59094600450187,5.22766432368613,0.674754533425662,3.4790716,5.88221131262214,8.46002010855487,7.17460550450776,6.01523455863888,5.21849558268214,-0.17756758,5.04263703554992,0.987003294833338,3.80728297431376,6.02183790184628,0
GSM2370976,5.90644212103494,6.84090208925657,6.03080836184384,4.67079920906095,9.29702170734334,4.45151536189068,0.30316330647639,7.99043160923195,-0.100903629,-0.025203787,3.77522263961023,1.42793012678944,3.62766034504465,4.7128581610885,5.10170890065927,7.23049816193366,5.20650257442072,-2.48234229,5.83524078734843,4.78429163427642,3.09470051263598,4.71009205815049,6.34304677197629,9.81390654187602,6.50700175947791,5.17675778540818,1.71957783918806,4.15670858807747,5.67638989515472,9.14204014341763,7.0907519260734,6.0734022548414,4.70732064152816,-0.100903629,4.96221215978004,1.53183613341418,3.97968726590266,5.55755053087354,0
GSM2370977,5.87156768135588,7.06051129690888,6.25862447903045,5.44395182891112,9.75298425765328,4.63093882478759,0.921820330471401,7.95114105433467,-0.661974016,0.0742907992649387,4.30978742818378,1.68239317383456,4.28858594181543,4.48098121273682,5.5578840181568,5.79093540878574,5.10669412087931,-4.227797283,5.05512494181922,4.60933724431837,2.60324212433689,3.97779335109412,5.98554704597526,8.39877260318989,6.26011050208751,4.98855572680368,2.91132938570145,2.50639323604109,6.08727574343802,8.83029801613362,7.42197360110521,5.00873312445254,5.13072086089532,0.10988906427468,4.87676204601064,3.14804056176261,4.58582804427291,6.08504162956225,0
GSM2370978,5.35134970805386,6.33155974067644,6.08830933569534,3.96535787049145,9.00407169637895,4.79143686748062,1.25285638373275,8.125158204,-4.227797283,-4.227797283,3.35326436627176,1.31558126572096,3.72079586014376,4.75794972855364,4.08721305578383,5.82819282064427,4.56490449108259,-4.227797283,4.0508033312855,5.3882961654616,0.715314990654906,4.14879935678169,4.9530602152142,8.94329851910722,5.47328844963045,4.0508033312855,2.63121075349885,2.72662402808148,6.13688178458366,8.12625218934905,8.35763816523553,5.09392092232464,4.2161077268743,0.805490321220795,5.28236382845571,3.46816189947028,5.11170453512094,5.31726906937519,0
GSM2370979,6.09276380320423,7.2672584943375,6.59708226715646,4.83859523369323,8.92703567814257,3.39147172055489,-1.158674241,8.57391234438684,1.5541673976819,-0.355172092,4.18608868690904,0.732862013013774,4.30825632521051,4.11205753149887,5.62386036603905,6.3240410175015,6.00753497952658,-1.614743102,4.75512079161488,4.91895098318757,2.21295970319927,4.17885419858352,5.88767025555699,9.52905582097739,5.97866304701517,4.76159203891684,4.0340210476639,3.71193157564121,5.70500191840891,8.55401240155793,7.38536228305046,5.92057222476073,5.01686868031938,0.035030019372163,5.26705256012672,3.69850351844977,5.03032978649808,5.67617687482435,0
